"Date","CTDTemp_C","daily_EXOTemp_C_1","daily_ThermistorTemp_C_1","YSITemp_C","Temp_C"
2015-02-05,NA,NA,NA,1.6,1.6
2015-02-06,NA,NA,NA,NA,NA
2015-02-07,NA,NA,NA,NA,NA
2015-02-08,NA,NA,NA,NA,NA
2015-02-09,NA,NA,NA,NA,NA
2015-02-10,NA,NA,NA,NA,NA
2015-02-11,NA,NA,NA,NA,NA
2015-02-12,NA,NA,NA,NA,NA
2015-02-13,NA,NA,NA,NA,NA
2015-02-14,NA,NA,NA,NA,NA
2015-02-15,NA,NA,NA,NA,NA
2015-02-16,NA,NA,NA,NA,NA
2015-02-17,NA,NA,NA,NA,NA
2015-02-18,NA,NA,NA,NA,NA
2015-02-19,NA,NA,NA,NA,NA
2015-02-20,NA,NA,NA,NA,NA
2015-02-21,NA,NA,NA,NA,NA
2015-02-22,NA,NA,NA,NA,NA
2015-02-23,NA,NA,NA,NA,NA
2015-02-24,NA,NA,NA,NA,NA
2015-02-25,NA,NA,NA,NA,NA
2015-02-26,NA,NA,NA,NA,NA
2015-02-27,NA,NA,NA,NA,NA
2015-02-28,NA,NA,NA,NA,NA
2015-03-01,NA,NA,NA,NA,NA
2015-03-02,NA,NA,NA,NA,NA
2015-03-03,NA,NA,NA,NA,NA
2015-03-04,NA,NA,NA,NA,NA
2015-03-05,NA,NA,NA,NA,NA
2015-03-06,NA,NA,NA,NA,NA
2015-03-07,NA,NA,NA,NA,NA
2015-03-08,NA,NA,NA,NA,NA
2015-03-09,NA,NA,NA,NA,NA
2015-03-10,NA,NA,NA,NA,NA
2015-03-11,NA,NA,NA,NA,NA
2015-03-12,NA,NA,NA,NA,NA
2015-03-13,NA,NA,NA,NA,NA
2015-03-14,NA,NA,NA,NA,NA
2015-03-15,NA,NA,NA,NA,NA
2015-03-16,6.2508,NA,NA,NA,6.2508
2015-03-17,NA,NA,NA,NA,NA
2015-03-18,NA,NA,NA,NA,NA
2015-03-19,NA,NA,NA,NA,NA
2015-03-20,NA,NA,NA,NA,NA
2015-03-21,NA,NA,NA,NA,NA
2015-03-22,NA,NA,NA,NA,NA
2015-03-23,NA,NA,NA,NA,NA
2015-03-24,NA,NA,NA,NA,NA
2015-03-25,NA,NA,NA,NA,NA
2015-03-26,NA,NA,NA,NA,NA
2015-03-27,NA,NA,NA,NA,NA
2015-03-28,NA,NA,NA,NA,NA
2015-03-29,NA,NA,NA,NA,NA
2015-03-30,NA,NA,NA,NA,NA
2015-03-31,8.9267,NA,NA,NA,8.9267
2015-04-01,NA,NA,NA,NA,NA
2015-04-02,NA,NA,NA,NA,NA
2015-04-03,NA,NA,NA,NA,NA
2015-04-04,NA,NA,NA,NA,NA
2015-04-05,NA,NA,NA,NA,NA
2015-04-06,NA,NA,NA,NA,NA
2015-04-07,12.9994,NA,NA,NA,12.9994
2015-04-08,NA,NA,NA,NA,NA
2015-04-09,NA,NA,NA,NA,NA
2015-04-10,NA,NA,NA,NA,NA
2015-04-11,NA,NA,NA,NA,NA
2015-04-12,NA,NA,NA,NA,NA
2015-04-13,14.1431,NA,NA,NA,14.1431
2015-04-14,NA,NA,NA,NA,NA
2015-04-15,NA,NA,NA,NA,NA
2015-04-16,15.0146,NA,NA,NA,15.0146
2015-04-17,NA,NA,NA,NA,NA
2015-04-18,NA,NA,NA,NA,NA
2015-04-19,17.9347,NA,NA,NA,17.9347
2015-04-20,NA,NA,NA,NA,NA
2015-04-21,14.6724,NA,NA,NA,14.6724
2015-04-22,NA,NA,NA,NA,NA
2015-04-23,NA,NA,NA,NA,NA
2015-04-24,NA,NA,NA,NA,NA
2015-04-25,13.9945,NA,NA,NA,13.9945
2015-04-26,NA,NA,NA,NA,NA
2015-04-27,NA,NA,NA,NA,NA
2015-04-28,13.7561,NA,NA,NA,13.7561
2015-04-29,NA,NA,NA,NA,NA
2015-04-30,NA,NA,NA,NA,NA
2015-05-01,14.6115,NA,NA,NA,14.6115
2015-05-02,NA,NA,NA,NA,NA
2015-05-03,NA,NA,NA,NA,NA
2015-05-04,NA,NA,NA,NA,NA
2015-05-05,18.0908,NA,NA,NA,18.0908
2015-05-06,NA,NA,NA,NA,NA
2015-05-07,18.3285,NA,NA,NA,18.3285
2015-05-08,NA,NA,NA,NA,NA
2015-05-09,NA,NA,NA,NA,NA
2015-05-10,NA,NA,NA,NA,NA
2015-05-11,21.138,NA,NA,NA,21.138
2015-05-12,NA,NA,NA,NA,NA
2015-05-13,NA,NA,NA,NA,NA
2015-05-14,19.9821,NA,NA,NA,19.9821
2015-05-15,NA,NA,NA,NA,NA
2015-05-16,NA,NA,NA,NA,NA
2015-05-17,NA,NA,NA,NA,NA
2015-05-18,23.1876,NA,NA,23,23.1876
2015-05-19,NA,NA,NA,NA,NA
2015-05-20,NA,NA,NA,NA,NA
2015-05-21,21.575,NA,NA,NA,21.575
2015-05-22,NA,NA,NA,NA,NA
2015-05-23,NA,NA,NA,NA,NA
2015-05-24,NA,NA,NA,NA,NA
2015-05-25,20.1069,NA,NA,20,20.1069
2015-05-26,NA,NA,NA,NA,NA
2015-05-27,NA,NA,NA,NA,NA
2015-05-28,23.88,NA,NA,NA,23.88
2015-05-29,NA,NA,NA,NA,NA
2015-05-30,NA,NA,NA,NA,NA
2015-05-31,NA,NA,NA,NA,NA
2015-06-01,NA,NA,NA,24.5,24.5
2015-06-02,NA,NA,NA,NA,NA
2015-06-03,NA,NA,NA,NA,NA
2015-06-04,NA,NA,NA,NA,NA
2015-06-05,NA,NA,NA,NA,NA
2015-06-06,NA,NA,NA,NA,NA
2015-06-07,NA,NA,NA,NA,NA
2015-06-08,22.6485,NA,NA,NA,22.6485
2015-06-09,NA,NA,NA,NA,NA
2015-06-10,NA,NA,NA,NA,NA
2015-06-11,23.6873,NA,NA,NA,23.6873
2015-06-12,NA,NA,NA,NA,NA
2015-06-13,NA,NA,NA,NA,NA
2015-06-14,NA,NA,NA,NA,NA
2015-06-15,25.442,NA,NA,NA,25.442
2015-06-16,NA,NA,NA,NA,NA
2015-06-17,NA,NA,NA,NA,NA
2015-06-18,NA,NA,NA,NA,NA
2015-06-19,NA,NA,NA,NA,NA
2015-06-20,NA,NA,NA,NA,NA
2015-06-21,NA,NA,NA,NA,NA
2015-06-22,26.6573,NA,NA,NA,26.6573
2015-06-23,25.8763,NA,NA,NA,25.8763
2015-06-24,NA,NA,NA,NA,NA
2015-06-25,NA,NA,NA,NA,NA
2015-06-26,NA,NA,NA,NA,NA
2015-06-27,NA,NA,NA,NA,NA
2015-06-28,NA,NA,NA,NA,NA
2015-06-29,24.2835,NA,NA,NA,24.2835
2015-06-30,NA,NA,NA,NA,NA
2015-07-01,NA,NA,NA,NA,NA
2015-07-02,24.5847,NA,NA,NA,24.5847
2015-07-03,NA,NA,NA,NA,NA
2015-07-04,NA,NA,NA,NA,NA
2015-07-05,NA,NA,NA,NA,NA
2015-07-06,23.8343,NA,NA,NA,23.8343
2015-07-07,NA,NA,NA,NA,NA
2015-07-08,NA,NA,NA,NA,NA
2015-07-09,24.4897,NA,NA,NA,24.4897
2015-07-10,NA,NA,NA,NA,NA
2015-07-11,NA,NA,NA,NA,NA
2015-07-12,NA,NA,NA,NA,NA
2015-07-13,24.9101,NA,NA,NA,24.9101
2015-07-14,NA,NA,NA,NA,NA
2015-07-15,NA,NA,NA,NA,NA
2015-07-16,24.9986,NA,NA,NA,24.9986
2015-07-17,NA,NA,NA,NA,NA
2015-07-18,NA,NA,NA,NA,NA
2015-07-19,NA,NA,NA,NA,NA
2015-07-20,26.2839,NA,NA,NA,26.2839
2015-07-21,NA,NA,NA,NA,NA
2015-07-22,NA,NA,NA,NA,NA
2015-07-23,26.8375,NA,NA,NA,26.8375
2015-07-24,NA,NA,NA,NA,NA
2015-07-25,NA,NA,NA,NA,NA
2015-07-26,NA,NA,NA,NA,NA
2015-07-27,27.2539,NA,NA,NA,27.2539
2015-07-28,NA,NA,NA,NA,NA
2015-07-29,NA,NA,NA,NA,NA
2015-07-30,28.0837,NA,NA,NA,28.0837
2015-07-31,NA,NA,NA,NA,NA
2015-08-01,NA,NA,NA,NA,NA
2015-08-02,NA,NA,NA,NA,NA
2015-08-03,26.0258,NA,NA,NA,26.0258
2015-08-04,NA,NA,NA,NA,NA
2015-08-05,NA,NA,NA,NA,NA
2015-08-06,NA,NA,NA,NA,NA
2015-08-07,NA,NA,NA,NA,NA
2015-08-08,25.6128,NA,NA,NA,25.6128
2015-08-09,NA,NA,NA,NA,NA
2015-08-10,NA,NA,NA,NA,NA
2015-08-11,NA,NA,NA,NA,NA
2015-08-12,NA,NA,NA,NA,NA
2015-08-13,NA,NA,NA,NA,NA
2015-08-14,NA,NA,NA,NA,NA
2015-08-15,NA,NA,NA,NA,NA
2015-08-16,NA,NA,NA,NA,NA
2015-08-17,NA,NA,NA,NA,NA
2015-08-18,NA,NA,NA,NA,NA
2015-08-19,NA,NA,NA,NA,NA
2015-08-20,NA,NA,NA,NA,NA
2015-08-21,NA,NA,NA,NA,NA
2015-08-22,NA,NA,NA,NA,NA
2015-08-23,NA,NA,NA,NA,NA
2015-08-24,NA,NA,NA,24.3,24.3
2015-08-25,NA,NA,NA,NA,NA
